condition,failure_modes,image_id,input_path,metric_ab_mse,metric_chroma_p99,metric_ciede2000,metric_colorfulness,metric_colorfulness_gap,metric_edge_bleeding,metric_global_cast,metric_halo_energy,metric_implausible_hue_frac,metric_mean_chroma,metric_psnr,metric_region_inconsistency,metric_ssim,metric_stability_ab_shift,n_findings,output_path,variant,worst_severity
baseline,global_color_cast|low_fidelity,landscape,outputs/sample_run/images/landscape__identity__input.png,1509.1041259765625,29.82019805908203,34.86900329589844,30.19530487060547,53.08622741699219,1.342031478881836,0.866174578666687,1.5911566019058228,0.0,27.416990280151367,12.2324095204112,1.2117465734481812,0.5941407101931006,,2,outputs/sample_run/images/landscape__identity.png,identity,severe
complex_lighting,instability|low_fidelity,landscape,outputs/sample_run/images/landscape__gamma_low__input.png,1855.41748046875,29.82019805908203,45.43983459472656,64.68110656738281,18.600425720214844,1.3679091930389404,0.19517384469509125,1.734843373298645,0.0,22.845054626464844,8.786585673806007,4.004885196685791,0.4070326357832695,16.377452850341797,2,outputs/sample_run/images/landscape__gamma_low.png,gamma_low,severe
complex_lighting,color_bleeding|low_fidelity,landscape,outputs/sample_run/images/landscape__gamma_high__input.png,1068.439208984375,29.144222259521484,30.982521057128906,41.384552001953125,41.89698028564453,2.9748213291168213,0.6140736937522888,1.5704084634780884,0.0,16.889663696289062,10.97364219478137,13.096308708190918,0.5501924951330889,7.275887489318848,2,outputs/sample_run/images/landscape__gamma_high.png,gamma_high,severe
complex_lighting,instability|low_fidelity,landscape,outputs/sample_run/images/landscape__underexpose__input.png,1854.978271484375,29.811573028564453,46.38868713378906,66.20217895507812,17.07935333251953,1.4387811422348022,0.21247713267803192,3.453672170639038,0.0,23.668067932128906,8.52453094882226,37.06187057495117,0.4052032423042872,16.926210403442383,2,outputs/sample_run/images/landscape__underexpose.png,underexpose,severe
complex_lighting,low_fidelity,landscape,outputs/sample_run/images/landscape__overexpose__input.png,1010.8245239257812,21.916284561157227,31.10845184326172,26.716323852539062,56.565208435058594,1.4413455724716187,0.6574580669403076,2.624535083770752,0.0,12.047825813293457,9.849200881053976,5.604970455169678,0.5524717564094449,10.674854278564453,1,outputs/sample_run/images/landscape__overexpose.png,overexpose,severe
complex_lighting,instability|low_fidelity,landscape,outputs/sample_run/images/landscape__backlight__input.png,1626.0555419921875,29.884113311767578,41.19775390625,65.31511688232422,17.966415405273438,1.3954415321350098,0.3793209195137024,1.7292405366897583,0.0,23.49612045288086,9.67214382213639,21.48685073852539,0.4792640486085336,12.301164627075195,2,outputs/sample_run/images/landscape__backlight.png,backlight,severe
complex_lighting,low_fidelity,landscape,outputs/sample_run/images/landscape__harsh_shadow__input.png,1106.711669921875,29.82019805908203,38.15676498413086,58.4876708984375,24.793861389160156,0.43132123351097107,0.38590189814567566,1.7286980152130127,0.0,20.60262107849121,10.033683380219642,5.784701824188232,0.48704266165288296,10.156278610229492,1,outputs/sample_run/images/landscape__harsh_shadow.png,harsh_shadow,severe
complex_lighting,global_color_cast|low_fidelity,landscape,outputs/sample_run/images/landscape__clip_highlights__input.png,1509.250732421875,29.82019805908203,34.83925247192383,31.803813934326172,51.477718353271484,1.574903130531311,0.853091299533844,1.7183494567871094,0.0,27.36829376220703,12.20240780938154,1.1015876531600952,0.5887986897129257,0.07747602462768555,2,outputs/sample_run/images/landscape__clip_highlights.png,clip_highlights,severe
fine_texture,color_bleeding|global_color_cast|low_fidelity,landscape,outputs/sample_run/images/landscape__blur__input.png,1586.9876708984375,29.811573028564453,35.50164031982422,32.984657287597656,50.296875,10.367204666137695,0.8665582537651062,0.40984880924224854,0.0,28.79387092590332,11.946636821865892,1.6204367876052856,0.4028133690859648,1.11179780960083,3,outputs/sample_run/images/landscape__blur.png,blur,severe
fine_texture,color_bleeding|global_color_cast|low_fidelity,landscape,outputs/sample_run/images/landscape__down_up_4x__input.png,1588.5927734375,29.811573028564453,35.527252197265625,32.88753128051758,50.39400100708008,4.160734176635742,0.8679454326629639,0.4319682717323303,0.0,28.79761505126953,11.948113276457825,1.3445096015930176,0.40637778747549186,1.1073683500289917,3,outputs/sample_run/images/landscape__down_up_4x.png,down_up_4x,severe
fine_texture,global_color_cast|low_fidelity,landscape,outputs/sample_run/images/landscape__noise__input.png,1413.4796142578125,29.82019805908203,34.34272766113281,28.94113540649414,54.340396881103516,1.3105882406234741,0.839588463306427,1.7678776979446411,0.0,25.359092712402344,12.409918183890948,3.2414584159851074,0.3268500767734039,1.4976173639297485,2,outputs/sample_run/images/landscape__noise.png,noise,severe
fine_texture,color_bleeding|global_color_cast|low_fidelity,landscape,outputs/sample_run/images/landscape__jpeg_q15__input.png,1592.7298583984375,29.59237289428711,35.66104507446289,32.624610900878906,50.65692138671875,3589484.25,0.8708264827728271,0.8820524215698242,0.0,28.652000427246094,11.995363930155845,0.7143407464027405,0.4047969783563378,1.0964674949645996,3,outputs/sample_run/images/landscape__jpeg_q15.png,jpeg_q15,severe
out_of_domain,,landscape,outputs/sample_run/images/landscape__negative__input.png,,29.81596565246582,,42.911468505859375,,1.1425561904907227,0.6666044592857361,2.156661033630371,0.0,21.863554000854492,,7.015429973602295,,,0,outputs/sample_run/images/landscape__negative.png,negative,none
out_of_domain,color_bleeding,landscape,outputs/sample_run/images/landscape__posterize__input.png,,29.388296127319336,,66.43162536621094,,17149620.0,0.170326367020607,2.136537790298462,0.0,23.22193717956543,,2.208540439605713,,,1,outputs/sample_run/images/landscape__posterize.png,posterize,severe
out_of_domain,desaturation|global_color_cast|halo,landscape,outputs/sample_run/images/landscape__sketch__input.png,,6.52090311050415,,8.23353385925293,,1.1706764698028564,0.7951276898384094,7.259697914123535,0.0,5.520176410675049,,1.871407151222229,,,3,outputs/sample_run/images/landscape__sketch.png,sketch,severe
out_of_domain,global_color_cast,landscape,outputs/sample_run/images/landscape__clahe_extreme__input.png,,22.56835174560547,,20.32147979736328,,1.1719636917114258,0.7076448798179626,2.801259756088257,0.0,10.854681968688965,,23.030487060546875,,,1,outputs/sample_run/images/landscape__clahe_extreme.png,clahe_extreme,minor
baseline,color_bleeding|low_fidelity,market,outputs/sample_run/images/market__identity__input.png,869.5916137695312,29.82610321044922,19.97686195373535,52.63815689086914,25.398052215576172,7.7504563331604,0.26874253153800964,4.373610019683838,0.0,19.20317268371582,15.464996351650111,34.943363189697266,0.5096983966793303,,2,outputs/sample_run/images/market__identity.png,identity,severe
